Timestamp,UE4Editor-AnalyticsET.dll,UE4Editor-ApplicationCore.dll,UE4Editor-AssetRegistry.dll,UE4Editor-Core.dll,UE4Editor-CoreUObject.dll,UE4Editor-DerivedDataCache.dll,UE4Editor-Engine.dll,UE4Editor-GameProjectGeneration.dll,UE4Editor-Json.dll,UE4Editor-MediaUtils.dll,UE4Editor-Projects.dll,UE4Editor-PropertyEditor.dll,UE4Editor-RHI.dll,UE4Editor-RenderCore.dll,UE4Editor-SequenceRecorder.dll,UE4Editor-Slate.dll,UE4Editor-SlateCore.dll,UE4Editor-TargetPlatform.dll,UE4Editor-UnrealEd.dll,UE4Editor.exe
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.3,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26
0.4,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36
0.5,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45
0.6,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55
0.7,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65
0.8,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75
0.9,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85
1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95
1.1,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,105
1.2,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,115
1.3,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125
1.4,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,132
1.5,0,1,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136
1.6,0,1,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141
1.7,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149
1.8,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159
1.9,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,169
2,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179
2.1,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,189
2.2,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,199
2.3,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,209
2.4,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,219
2.5,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,229
2.6,0,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,239
2.7,0,1,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,247
2.8,0,1,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,256
2.9,0,1,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,266
3,0,1,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,275
3.1,0,1,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,285
3.2,0,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,294
3.3,0,1,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,301
