timestamp,module1_name_here,module2_name_here,module3_name_here,module4_name_here,module5_name_here,module6_name_here,module7_name_here,module8_name_here,module9_name_here,module10_name_here,module11_name_here,module12_name_here,module13_name_here,module14_name_here
0.05,241,0,117,12,12,12,12,12,12,12,12,12,12,12
0.1,504,0,229,26,26,26,26,26,26,26,26,26,26,26
0.15,792,0,352,41,41,41,41,41,41,41,41,41,41,41
0.2,1079,0,472,57,57,57,57,57,57,57,57,57,57,57
0.25,1416,0,616,70,70,70,70,70,70,70,70,70,70,70
0.3,1755,0,771,80,80,80,80,80,80,80,80,80,80,80
0.35,2125,0,938,90,90,90,90,90,90,90,90,90,90,90
0.4,2463,0,1116,105,105,105,105,105,105,105,105,105,105,105
0.45,2867,0,1330,131,131,131,131,131,131,131,131,131,131,131
0.5,3280,0,1519,143,143,143,143,143,143,143,143,143,143,143
0.55,3672,0,1735,167,167,167,167,167,167,167,167,167,167,167
0.6,4043,0,1974,182,182,182,182,182,182,182,182,182,182,182
0.65,4498,0,2229,198,198,198,198,198,198,198,198,198,198,198
0.7,4885,0,2527,222,222,222,222,222,222,222,222,222,222,222
0.75,5303,0,2825,240,240,240,240,240,240,240,240,240,240,240
0.8,5734,0,3175,253,253,253,253,253,253,253,253,253,253,253
0.85,6101,0,3517,271,271,271,271,271,271,271,271,271,271,271
0.9,6455,0,3884,294,294,294,294,294,294,294,294,294,294,294
0.95,6826,0,4305,315,315,315,315,315,315,315,315,315,315,315
1,7152,0,4715,326,326,326,326,326,326,326,326,326,326,326
1.05,7529,0,5379,352,352,352,352,352,352,352,352,352,352,352
1.1,7846,0,5853,373,373,373,373,373,373,373,373,373,373,373
1.15,8147,0,6433,394,394,394,394,394,394,394,394,394,394,394
1.2,8394,0,7029,415,415,415,415,415,415,415,415,415,415,415
1.25,8688,0,7736,438,438,438,438,438,438,438,438,438,438,438
1.3,8999,0,8543,456,456,456,456,456,456,456,456,456,456,456
1.35,9259,0,9408,481,481,481,481,481,481,481,481,481,481,481
1.4,9544,0,10426,502,502,502,502,502,502,502,502,502,502,502
1.45,9804,0,11554,527,527,527,527,527,527,527,527,527,527,527
1.5,10075,0,12636,553,553,553,553,553,553,553,553,553,553,553
1.55,10353,0,14025,586,586,586,586,586,586,586,586,586,586,586
1.6,10633,0,15481,622,622,622,622,622,622,622,622,622,622,622
1.65,10943,0,17492,654,654,654,654,654,654,654,654,654,654,654
1.7,11289,0,19731,696,696,696,696,696,696,696,696,696,696,696
1.75,11664,0,22664,758,758,758,758,758,758,758,758,758,758,758
1.8,12076,0,26846,864,864,864,864,864,864,864,864,864,864,864
1.85,12497,0,31982,954,954,954,954,954,954,954,954,954,954,954
1.9,12942,5,38621,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043
1.95,13339,5,47423,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135
2,13718,5,57530,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205
2.05,14097,5,71547,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287,1287
2.1,14489,5,89184,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381
2.15,14830,5,110077,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452
2.2,15192,5,136067,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
2.25,15533,5,166669,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
2.3,15843,5,199486,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777
2.35,16153,5,232445,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893
2.4,16387,5,267867,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
2.45,16634,5,303945,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114
2.5,16843,5,340614,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275,2275
2.55,17039,5,378853,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440
2.6,17248,5,414955,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598,2598
2.65,17461,5,449366,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806
2.7,17660,5,480892,3049,3049,3049,3049,3049,3049,3049,3049,3049,3049,3049
2.75,17849,5,511970,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329
2.8,18060,5,540643,3608,3608,3608,3608,3608,3608,3608,3608,3608,3608,3608
